일련번호,노선명,기점,종점,도로연계성,자전거도로종류,연장,도로부지,하천부지,전용도로,전용차로,우선도로,분리형겸용도로,비분리형겸용도로,보행량(점)
1,고봉로1,강선마을17단지삼거리,후곡18단지사거리,Y,전용도로,1.62,내측,,2.7,,,,,3
2,고봉로2,후곡18단지사거리,일산교사거리,Y,전용도로,0.4,내측,,2.7,,,,,3
3,백마로1,강촌7단지사거리,백마교사거리,Y,전용도로,1.4,내측,,2.7,,,,,4
4,킨텍스로1L,킨텍스1교,한류월드로 교차 사거리,Y,겸용도로,0.63,도로측,,,,,2,,1
5,킨텍스로1R,킨텍스2교,킨텍스1교,Y,겸용도로,0.28,내측,,,,,2,,1
6,킨텍스로2L,호수로 현대백화점앞,한류월드로,Y,겸용도로,0.49,도로측,,,,,1.5,,2
7,킨텍스로2R,호수로 현대백화점앞,한류월드로,Y,겸용도로,0.49,도로측,,,,,1.5,,2
8,킨텍스로3,문촌19단지사거리,경의로교차삼거리,Y,겸용도로,1.87,도로측,,,,,,4,3
9,중앙로1L,장성교 (대화동 2327-3),송산로 교차 사거리(가좌동 157-12),Y,겸용도로,1.7,도로측,,,,,,3,2
10,중앙로1R,장성교 (대화동 2327-3),송산로 교차 사거리(가좌동 157-12),Y,겸용도로,1.7,도로측,,,,,,3,2
11,중앙로2L,뉴서울쇼핑사거리,장성교 (대화동 2325-1),Y,겸용도로,2.9,도로측,,,,,,4,4
12,중앙로2R,뉴서울쇼핑사거리,장성교 (대화동 2325-1),Y,겸용도로,2.9,도로측,,,,,,4,4
13,중앙로3L,고양종합터미널사거리,뉴서울쇼핑사거리,Y,겸용도로,3.32,도로측,,,,,,4,4
14,중앙로3R,고양종합터미널사거리,뉴서울쇼핑사거리,Y,겸용도로,3.32,도로측,,,,,,4,4
15,중앙로4L,내곡동 294-20,별빛마을911동앞 (토당육교),Y,겸용도로,2.32,도로측,,,,,,1.7,1
16,중앙로4R,백마주유소사거리,별빛마을911동앞 (토당육교),Y,겸용도로,3.45,도로측,,,,,,1.7,1
17,중앙로5L,별빛마을911동앞,백양로교차삼거리,Y,겸용도로,0.61,도로측,,,,,,3.5,3
18,중앙로5R,고양경찰서앞 (화정동1152-1),백양로교차삼거리,Y,겸용도로,0.36,도로측,,,,,1.5,,3
19,중앙로6L,백양로 교차 삼거리,행신초등학교앞,Y,전용도로,0.51,도로측,,2.1,,,,,3
20,중앙로6R,백양로 교차 삼거리,행신초등학교앞,Y,전용도로,0.56,도로측,,2.1,,,,,3
21,중앙로7L,행신초교앞 사거리,서정마을803동앞 (행신동1127-1),Y,겸용도로,1.7,내측,,,,,1.5,,3
22,중앙로7R,행신초교앞 사거리,서정마을803동앞 (행신동1127-1),Y,겸용도로,1.7,내측,,,,,1.5,,3
23,중앙로8L,서정마을803동앞(행신동 45-27),덕은동 77,Y,겸용도로,3.44,도로측,,,,,,3,2
24,중앙로8L,덕은동 77,덕은교삼거리,,겸용도로,0.19,도로측,,,,,1.2,,2
25,중앙로8R,서정마을803동앞(행신동 45-27),덕은교삼거리,Y,겸용도로,3.63,도로측,,,,,,3,2
26,고양대로1,법곳IC (법곳동 133-1),고양종합운동장사거리,Y,겸용도로,2.32,도로측,,,,,,3,2
27,고양대로2L,대화교삼거리,농수산물종합유통센터사거리 (대화동2338),Y,겸용도로,0.47,내측,,,,,1.5,,2
28,고양대로2R,대화교삼거리,농수산물종합유통센터사거리 (대화동2338),Y,겸용도로,0.5,도로측,,,,,,3,2
29,고양대로3,대화동 2338,일산지하차도사거리,Y,겸용도로,0.87,내측,,,,,1.5,,2
